0,92,67
1,91,66
2,90,66
3,89,65
4,89,64
5,88,65
6,87,65
7,87,65
8,86,64
9,87,64
10,85,64
11,84,64
12,84,65
13,86,64
14,85,62
15,83,62
16,86,61
17,87,61
18,86,60
19,87,63
20,89,65
21,90,65
22,91,65
23,91,65
24,92,65
25,92,65
26,93,65
27,92,66
28,92,65
29,93,65
30,93,63
31,93,62
32,94,62
33,95,63
34,95,62
35,95,62
36,96,62
37,97,63
38,96,63
39,96,62
40,95,62
41,94,63
42,93,62
43,91,61
44,89,63
45,87,62
46,85,61
47,84,62
48,80,63
49,77,63
50,78,63
51,76,64
52,72,66
53,70,67
54,69,67
55,69,67
56,68,67
57,66,69
58,66,69
59,67,69
60,68,67
61,66,69
62,65,69
63,64,69
64,64,68
65,63,69
66,62,68
67,62,70
68,61,68
69,63,68
70,64,69
71,63,69
72,64,69
73,63,67
74,63,67
75,63,67
76,64,63
77,64,62
78,64,60
79,66,60
80,67,58
81,68,60
82,69,60
83,73,60
84,75,59
85,79,61
86,80,59
87,80,58
88,86,60
89,91,61
90,93,59
91,99,62
92,102,60
93,103,61
94,107,63
95,106,61
96,107,62
97,107,61
98,107,60
99,109,63
100,108,60
101,106,61
102,106,60
103,103,59
104,100,60
105,98,61
106,95,61
107,92,61
108,91,60
109,89,58
110,88,58
111,84,60
112,83,57
113,82,57
114,81,59
115,79,57
116,78,59
117,79,58
118,78,57
119,77,56
120,77,57
121,77,56
122,77,56
123,76,58
124,75,57
125,76,58
126,75,57
127,75,57
128,75,58
129,74,57
130,74,56
131,73,56
132,73,56
133,74,57
134,73,54
135,74,56
136,74,58
137,73,55
138,74,56
139,75,56
140,75,56
141,76,55
142,77,55
143,79,55
144,78,55
145,77,54
146,77,54
147,80,57
148,81,57
149,81,56
150,81,54
151,82,55
152,82,54
153,82,53
154,82,53
155,81,54
156,81,53
157,82,55
158,81,53
159,81,55
160,81,54
161,81,56
162,82,54
163,80,55
164,80,55
165,82,56
166,81,55
167,82,57
168,83,57
169,82,57
170,83,57
171,82,58
172,83,61
173,84,62
174,85,62
175,87,64
176,87,65
177,85,64
178,85,64
179,86,65
180,87,65
181,85,64
182,86,66
183,87,66
184,87,65
185,88,67
186,89,68
187,91,69
188,92,70
189,93,71
190,94,70
191,95,73
192,96,71
193,97,73
194,100,74
195,100,74
196,100,76
197,102,75
198,102,77
199,101,75
200,105,76
201,106,77
202,105,78
203,109,82
204,109,80
205,109,82
206,110,78
207,114,81
208,113,80
209,113,79
210,114,78
211,112,76
212,107,75
213,105,74
214,103,72
215,97,70
216,94,69
217,90,68
218,88,67
219,85,64
220,82,66
221,78,65
222,75,66
223,73,66
224,71,66
225,70,64
226,69,64
227,67,65
228,66,66
229,65,65
230,65,64
231,66,65
232,67,66
233,69,66
234,70,68
235,71,67
236,73,68
237,75,68
238,76,68
239,79,69
240,80,67
241,81,68
242,82,71
243,84,68
244,82,69
245,83,71
246,85,71
247,86,72
248,87,71
249,85,71
250,85,70
251,84,68
252,84,68
253,83,69
254,82,68
255,82,67
256,82,68
